koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_disposition
5.0113292,1.2e-05,-1.2e-05,2.52314,0.302798,-0.302798,1210.0,182.035,-182.035,4272.0,122.7,-122.7,0.68,0.06,-0.06,17.1793,,,567.0,,,CANDIDATE
1.01606,0.00034,-0.00034,1.20704,0.0989898,-0.0989898,240.0,0.375709,-0.375709,4634.0,120.9,-120.9,0.68,0.05,-0.05,2784.04,,,2023.0,,,FALSE POSITIVE
3.547854,0.000149,-0.000149,14.581841,0.196435,-0.196435,10424.3718,123.359314,-123.359314,6351.0,,,1.4,,,1212.004376,,,1504.858953,,,CONFIRMED
12.1246519,1.03e-05,-1.03e-05,17.6729,2.59688,-2.59688,7279.0,6484.95,-6484.95,4807.6,60.0,-60.0,1.07,0.03,-0.03,207.32,,,1057.0,,,FALSE POSITIVE
5.652623,2.54e-05,-2.54e-05,8.94354,1.13988,-1.13988,1250.0,26.0133,-26.0133,6415.4,103.2,-103.2,1.92,0.08,-0.08,2717.06,,,2011.0,,,FALSE POSITIVE
5.6643704,1.09e-05,-1.09e-05,14.7738943,0.7471176,-0.7471176,3491.8232968,95.25267,-95.25267,10395.0,320.6,-320.6,2.3383701,0.109357,-0.109357,7657.6621505,,,2385.8536488,,,CANDIDATE
29.0160175,6.47e-05,-6.47e-05,6.77406,,,1389.0,36.0326,-36.0326,6113.1,,,2.01,,,33.2234,,,,,,FALSE POSITIVE
3.6344692,0.0009773,-0.0009773,4.2048368,2.1508167,-2.1508167,628.699015,56.304756,-56.304756,9810.0,173.7,-173.7,1.60776,0.0427739,-0.0427739,5420.178349,,,2188.3820499,,,FALSE POSITIVE
6.0744477,5.9e-06,-5.9e-06,30.9493217,11.697444,-11.697444,5982.5212406,93.93912,-93.93912,5964.0,128.4,-128.4,2.4303801,0.151568,-0.151568,1487.5644344,,,1583.9398898,,,CANDIDATE
3.7795212,4e-06,-4e-06,5.98375,0.311897,-0.311897,2761.0,60.2474,-60.2474,5771.0,132.3,-132.3,1.18,0.06,-0.06,466.528,,,1294.0,,,CANDIDATE
1.2025238,6.7e-06,-6.7e-06,6.31106,1.99504,-1.99504,390.0,107.57,-107.57,9158.0,171.4,-171.4,1.74,0.05,-0.05,208477.0,,,5952.0,,,FALSE POSITIVE
3.2235985,1.38e-05,-1.38e-05,5.51341,,,680.0,1.13,-1.13,8904.0,239.9,-239.9,2.17,,,2064.8,,,,,,FALSE POSITIVE
4.0872956,2.3e-06,-2.3e-06,13.6237732,0.6518233,-0.6518233,3572.1712499,35.689426,-35.689426,6036.0,,,2.2186699,0.102573,-0.102573,2242.3605401,,,1755.0767383,,,CONFIRMED
2.55555,0.00045,-0.00045,11.5901,,,340.0,1.37224,-1.37224,10037.0,123.0,-123.0,6.04,,,3520.68,,,2145.0,,,FALSE POSITIVE
8.30792,0.00037,-0.00037,43.1068,4.42399,-4.42399,8350.0,160.238,-160.238,9081.0,173.2,-173.2,3.05,0.09,-0.09,2276.25,,,1924.0,,,FALSE POSITIVE
0.758082,7.3e-06,-7.3e-06,10.1273702,0.6658212,-0.6658212,583.93181,58.10249,-58.10249,9917.0,199.6,-199.6,3.5086601,0.120121,-0.120121,216218.1005011,,,5499.7476332,,,CANDIDATE
1.4415577,7.4e-06,-7.4e-06,3.61078,0.26004,-0.26004,507.0,54.9645,-54.9645,6902.0,135.7,-135.7,1.52,0.06,-0.06,16861.8,,,3174.0,,,FALSE POSITIVE
3.7039994,3.7e-06,-3.7e-06,17.57,0.746573,-0.746573,7590.0,1.22092,-1.22092,7013.8,299.6,-299.6,1.9,0.08,-0.08,3546.13,,,2149.0,,,FALSE POSITIVE
1.3042553,2e-06,-2e-06,9.36472,1.30647,-1.30647,914.0,628.954,-628.954,6762.0,130.2,-130.2,1.75,0.07,-0.07,26944.7,,,3569.0,,,FALSE POSITIVE
0.62627,2e-05,-2e-05,5.72162,0.894462,-0.894462,1880.0,68.5212,-68.5212,5622.0,131.2,-131.2,0.93,0.05,-0.05,3235.57,,,2101.0,,,FALSE POSITIVE
0.30412,1e-05,-1e-05,10.417,0.668057,-0.668057,1330.0,3.83107,-3.83107,11892.0,235.8,-235.8,2.52,0.09,-0.09,280833.0,,,6413.0,,,FALSE POSITIVE
2.1805277,2.7e-06,-2.7e-06,16.808853,0.8821375,-0.8821375,16340.1353205,426.89557,-426.89557,6599.0,200.0,-200.0,1.2714601,0.0635578,-0.0635578,1770.4650539,,,1654.404068,,,CONFIRMED
2.1846669,5e-07,-5e-07,13.7028527,0.6619751,-0.6619751,11708.0228549,34.928566,-34.928566,5630.0,,,1.23824,0.0596985,-0.0596985,1362.1381428,,,1549.4409801,,,CONFIRMED
3.7354838,2.1e-06,-2.1e-06,21.2315,1.19579,-1.19579,17030.0,0.271732,-0.271732,6650.0,,,1.57,0.09,-0.09,1292.19,,,1670.0,,,CONFIRMED
9.139804,0.0001109,-0.0001109,3.0629855,2.8175755,-2.8175755,358.4157801,33.721474,-33.721474,5958.2,76.0,-76.0,1.58,0.165123,-0.165123,243.011763,,,1006.9932829,,,CONFIRMED
5.742625,0.000621,-0.000621,13.088532,3.636668,-3.636668,1105.760867,87.92673,-87.92673,5664.0,188.0,-188.0,3.86959,0.644568,-0.644568,,,,,,,FALSE POSITIVE
15.5077855,0.0002372,-0.0002372,2.43432,0.142957,-0.142957,513.0,25.4443,-25.4443,6122.0,194.0,-194.0,1.17,0.05,-0.05,88.0718,,,853.0,,,CONFIRMED
17.4713078,1.76e-05,-1.76e-05,3.5766828,0.2409907,-0.2409907,1199.7541483,28.872627,-28.872627,5783.54,7.82429,-7.82429,0.974669,0.0546984,-0.0546984,53.3700317,,,689.3568807,,,CONFIRMED
5.3079507,1.91e-05,-1.91e-05,3.0486928,0.3630359,-0.3630359,391.3830934,26.766296,-26.766296,6124.3,83.0,-83.0,1.36963,0.0633668,-0.0633668,603.2401116,,,1263.9861129,,,CANDIDATE
51.1701501,0.0001962,-0.0001962,2.9366826,0.26575,-0.26575,851.4547808,36.121876,-36.121876,5599.0,187.0,-187.0,0.943356,0.0456583,-0.0456583,11.2148229,,,466.7322968,,,CANDIDATE
11.1296441,6.03e-05,-6.03e-05,12.8402271,0.8162001,-0.8162001,951.6169809,60.711002,-60.711002,5785.0,189.0,-189.0,3.4475601,0.174417,-0.174417,1255.6817164,,,1518.2372485,,,CANDIDATE
9.4496506,2.8e-06,-2.8e-06,17.0216,1.10249,-1.10249,19750.0,16.7663,-16.7663,5509.0,186.0,-186.0,0.94,0.06,-0.06,38.5799,,,694.0,,,CANDIDATE
2.8493825,3e-07,-3e-07,16.3869,0.734704,-0.734704,8049.0,25.0232,-25.0232,6900.0,,,1.77,0.08,-0.08,2005.83,,,1864.0,,,CONFIRMED
0.540933,0.000107,-0.000107,2.28501,0.57323,-0.57323,257.347459,27.641214,-27.641214,5525.0,186.0,-186.0,1.21935,0.16458,-0.16458,,,,,,,FALSE POSITIVE
4.1150576,5.6e-06,-5.6e-06,2.30057,0.16833,-0.16833,487.0,50.8548,-50.8548,5394.0,185.0,-185.0,0.89,0.05,-0.05,77.3573,,,826.0,,,CONFIRMED
10.0665238,2.37e-05,-2.37e-05,2.7272824,0.2128311,-0.2128311,839.9044871,47.550835,-47.550835,5552.0,187.0,-187.0,0.791742,0.0453065,-0.0453065,54.8791715,,,694.1792631,,,CANDIDATE
6.4438657,1.65e-05,-1.65e-05,2.460344,1.638728,-1.638728,1121.9512275,76.157646,-76.157646,4803.0,178.0,-178.0,0.737189,0.0567035,-0.0567035,60.831305,,,712.2812841,,,CONFIRMED
12.2265595,2.69e-05,-2.69e-05,2.6014766,1.7533404,-1.7533404,1206.3693293,86.60944,-86.60944,4803.0,178.0,-178.0,0.737189,0.0567035,-0.0567035,25.8970378,,,575.3502049,,,CONFIRMED
2.160344,0.000276,-0.000276,22.503541,17.500204,-17.500204,19357.992992,1487.6189,-1487.6189,5780.0,,,1.2,,,,,,,,,CONFIRMED
4.606184,0.000392,-0.000392,12.962219,0.582183,-0.582183,13793.034867,1031.5532,-1031.5532,5670.0,,,1.07,,,,,,,,,CONFIRMED
3.1316735,3.3e-06,-3.3e-06,9.4995191,0.3442331,-0.3442331,14915.6943722,307.91364,-307.91364,4351.0,167.0,-167.0,0.76701,,,148.6544991,,,890.5622134,,,CONFIRMED
3.180362,0.000247,-0.000247,13.446487,0.600679,-0.600679,21192.463324,682.47424,-682.47424,5498.0,,,0.92,,,,,,,,,CONFIRMED
2.9776446,8e-07,-8e-07,14.4339,0.765765,-0.765765,13022.0,123.052,-123.052,5703.0,188.0,-188.0,1.22,0.06,-0.06,758.324,,,1461.0,,,CONFIRMED
3.9502008,2.6e-06,-2.6e-06,20.5357,0.899664,-0.899664,13914.0,95.9899,-95.9899,6153.0,,,1.71,0.07,-0.07,1009.38,,,1570.0,,,CONFIRMED
2.9776152,9.78e-05,-9.78e-05,26.88423,0.196978,-0.196978,43218.111683,416.72778,-416.72778,5740.0,,,1.28,,,873.27,,,1386.5,,,FALSE POSITIVE
3.5544026,2e-06,-2e-06,13.200677,0.7620152,-0.7620152,10164.8753396,290.74887,-290.74887,5639.0,188.0,-188.0,1.11499,0.0591758,-0.0591758,515.0014435,,,1214.9876435,,,CONFIRMED
12.8379689,0.0031236,-0.0031236,25.4886382,1.376776,-1.376776,10539.0192794,361.00934,-361.00934,5765.0,189.0,-189.0,2.4494,0.11699,-0.11699,374.129,,,1225.0,,,FALSE POSITIVE
3.9228016,1.22e-05,-1.22e-05,13.3368705,0.4312808,-0.4312808,31510.9004906,1047.8658,-1047.8658,4444.0,168.0,-168.0,0.6983,,,91.167589,,,788.0973496,,,CONFIRMED
13.9428705,5.85e-05,-5.85e-05,2.4233421,1.1757723,-1.1757723,1015.395543,87.93079,-87.93079,5206.0,183.0,-183.0,0.741671,0.0479724,-0.0479724,28.0927293,,,587.1759148,,,CANDIDATE
0.6047392,5.6e-06,-5.6e-06,1.8625587,1.4926332,-1.4926332,1027.6833479,64.46101,-64.46101,4046.0,170.0,-170.0,0.580337,0.0172756,-0.0172756,528.0253155,,,1222.5973095,,,CONFIRMED
2.5495611,7e-07,-7e-07,12.9171288,0.6510275,-0.6510275,14921.4021936,81.960434,-81.960434,5659.0,,,1.03997,0.0519397,-0.0519397,757.1284067,,,1337.8645148,,,CONFIRMED
1.6062693,1e-06,-1e-06,12.6436029,0.3239791,-0.3239791,16725.3019333,216.14401,-216.14401,5192.0,182.0,-182.0,0.984326,,,844.2700581,,,1374.8018137,,,CANDIDATE
0.5182425,4.2e-06,-4.2e-06,1.3485121,0.0900143,-0.0900143,831.8920424,40.76848,-40.76848,3325.0,102.0,-102.0,0.390989,0.0117402,-0.0117402,255.1405815,,,1019.3295979,,,CONFIRMED
3.1644075,1.22e-05,-1.22e-05,14.8814743,1.1265037,-1.1265037,5603.4635466,592.0081,-592.0081,6519.0,194.0,-194.0,1.7234,,,2206.1550476,,,1747.9490013,,,CANDIDATE
3.0440541,4.3e-06,-4.3e-06,12.1086799,0.2679916,-0.2679916,22236.0165376,490.51093,-490.51093,5523.0,,,0.809868,,,315.9871326,,,1075.3184542,,,CONFIRMED
3.9652485,1.22e-05,-1.22e-05,1.2305102,1.0583848,-1.0583848,3680.7544436,458.06815,-458.06815,3296.0,64.0,-64.0,0.199988,0.0059812,-0.0059812,5.2829448,,,386.6684768,,,CANDIDATE
2.98278,0.000442,-0.000442,11.467011,11.475316,-11.475316,6136.231662,315.89865,-315.89865,6027.0,192.0,-192.0,1.23975,1.23975,-1.23975,,,,,,,CANDIDATE
16.3469053,5.04e-05,-5.04e-05,3.5059571,0.3785092,-0.3785092,2212.4257252,107.20914,-107.20914,4310.0,173.0,-173.0,0.649613,0.0616131,-0.0616131,8.9995944,,,441.7489067,,,CANDIDATE
12.9802953,3.43e-05,-3.43e-05,2.4241912,1.6760336,-1.6760336,2407.2608671,199.78712,-199.78712,3614.0,64.0,-64.0,0.491323,0.0146852,-0.0146852,4.7341229,,,376.2093904,,,CANDIDATE
1.3484961,6e-07,-6e-07,15.8824638,0.8602182,-0.8602182,18463.7636682,122.78925,-122.78925,6346.0,,,1.14759,0.061613,-0.061613,2706.9606225,,,1839.6713042,,,CONFIRMED
3.7178828,4.1e-06,-4.1e-06,14.6986197,0.8573183,-0.8573183,4864.8405125,79.77315,-79.77315,5818.0,190.0,-190.0,2.0840001,0.106131,-0.106131,1925.1426172,,,1689.4116185,,,CANDIDATE
9.30992,0.00209,-0.00209,14.2968,0.777875,-0.777875,2220.0,1.39456,-1.39456,6907.0,135.5,-135.5,3.09,0.14,-0.14,215.208,,,1067.0,,,FALSE POSITIVE
4.73703,0.00453,-0.00453,25.7144,10.2479,-10.2479,2410.0,1380.87,-1380.87,11600.0,368.2,-368.2,2.48,0.13,-0.13,53821.0,,,4243.0,,,FALSE POSITIVE
2.76676,2.5e-06,-2.5e-06,12.2867389,0.3063938,-0.3063938,14947.4387827,290.84625,-290.84625,5346.0,,,0.984866,,,505.8840075,,,1209.5741229,,,CONFIRMED
2.19296,0.0003,-0.0003,22.7769,8.69015,-8.69015,4933.74,704.212,-704.212,7009.8,184.2,-184.2,2.95,0.16,-0.16,31883.5,,,3722.0,,,FALSE POSITIVE
1.725841,1.65e-05,-1.65e-05,15.0024,3.57813,-3.57813,2710.0,181.13,-181.13,7348.0,133.8,-133.8,2.39,0.09,-0.09,50469.2,,,4175.0,,,CANDIDATE
1.1923,3e-05,-3e-05,30.666,4.10377,-4.10377,3730.0,297.774,-297.774,6534.0,136.4,-136.4,2.04,0.09,-0.09,40771.2,,,3958.0,,,FALSE POSITIVE
1.4821386,1.4e-06,-1.4e-06,13.7339261,0.5647548,-0.5647548,2102.6568299,30.643518,-30.643518,7066.0,133.7,-133.7,2.6647301,0.10601,-0.10601,18197.1354531,,,2962.2418039,,,CANDIDATE
0.9209526,0.0001855,-0.0001855,5.7349089,4.2950416,-4.2950416,360.8801529,42.466145,-42.466145,6553.0,136.4,-136.4,2.8908899,0.125277,-0.125277,32740.3629399,,,3430.7622437,,,FALSE POSITIVE
9.188506,2.88e-05,-2.88e-05,2.16591,0.121765,-0.121765,460.0,0.427735,-0.427735,5876.0,124.0,-124.0,0.98,0.04,-0.04,63.4589,,,786.0,,,CONFIRMED
13.9028391,0.0013871,-0.0013871,2.6136848,1.333298,-1.333298,647.2701039,70.93129,-70.93129,5876.0,124.0,-124.0,0.983215,0.0449925,-0.0449925,77.4841883,,,756.6987586,,,CONFIRMED
10.1826983,1.29e-05,-1.29e-05,3.0538057,0.7958977,-0.7958977,667.4752458,45.255642,-45.255642,6153.0,194.0,-194.0,1.14582,0.0509699,-0.0509699,198.394783,,,957.1991659,,,CONFIRMED
6.441006,6e-06,-6e-06,2.56374,0.19448,-0.19448,914.0,46.8059,-46.8059,4867.0,179.0,-179.0,0.8,0.06,-0.06,87.8902,,,853.0,,,CONFIRMED
3.1743504,1.7e-06,-1.7e-06,14.9172256,0.8283901,-0.8283901,15457.3247576,155.05025,-155.05025,5943.0,,,1.15706,0.0633669,-0.0633669,718.9096994,,,1320.6518234,,,CONFIRMED
20.0731588,8.61e-05,-8.61e-05,4.0506906,1.0627592,-1.0627592,1152.9645461,68.35146,-68.35146,6033.0,129.5,-129.5,1.14849,0.0522613,-0.0522613,69.3993155,,,736.1368293,,,FALSE POSITIVE
2.66903,1e-05,-1e-05,9.36823,0.500837,-0.500837,3110.0,1.55398,-1.55398,5803.5,120.9,-120.9,1.56,0.08,-0.08,429.86,,,1268.0,,,FALSE POSITIVE
6.63371,0.00059,-0.00059,2.75375,0.16093,-0.16093,1555.34,2.04117,-2.04117,4138.1,94.2,-94.2,0.63,0.03,-0.03,22.9987,,,610.0,,,FALSE POSITIVE
2.94308,1e-05,-1e-05,45.3525,,,4490.0,1332.09,-1332.09,4437.0,124.0,-124.0,3.13,,,2533.34,,,1976.0,,,CANDIDATE
341.2811281,0.0045871,-0.0045871,4.7531892,0.3291192,-0.3291192,972.5797241,54.08448,-54.08448,6058.6,110.5,-110.5,1.39203,0.060098,-0.060098,121.1597998,,,846.173434,,,FALSE POSITIVE
10.8680523,3.8e-05,-3.8e-05,2.90726,0.252816,-0.252816,1553.0,109.838,-109.838,4664.0,125.9,-125.9,0.76,0.06,-0.06,20.7383,,,594.0,,,CANDIDATE
11.1149,0.00295,-0.00295,14.7645,,,900.0,3.59699,-3.59699,5042.0,122.0,-122.0,4.94,,,21.9713,,,603.0,,,CANDIDATE
4.0782392,1.7e-06,-1.7e-06,13.898174,0.6260191,-0.6260191,6046.6959687,29.462303,-29.462303,6501.0,138.9,-138.9,1.74836,0.0780452,-0.0780452,1619.0081232,,,1617.8267296,,,CONFIRMED
7.14386,0.00054,-0.00054,22.1531,1.97652,-1.97652,11146.4,53.8514,-53.8514,7860.0,220.0,-220.0,1.91,0.11,-0.11,,,,,,,FALSE POSITIVE
7.04083,3e-05,-3e-05,8.46404,2.20234,-2.20234,1580.0,458.747,-458.747,5317.0,65.7,-65.7,0.91,0.05,-0.05,852.336,,,1505.0,,,FALSE POSITIVE
2.1061569,2.6e-06,-2.6e-06,13.086872,2.512208,-2.512208,12142.2238514,514.4283,-514.4283,5380.0,,,0.940697,,,691.8428073,,,1308.0417533,,,CONFIRMED
2.4545635,1e-06,-1e-06,11.1276,0.467151,-0.467151,4248.0,54.2672,-54.2672,6610.0,128.4,-128.4,1.64,0.07,-0.07,2162.73,,,1899.0,,,FALSE POSITIVE
11.4756978,8.85e-05,-8.85e-05,14.1098,4.18181,-4.18181,8341.0,2131.75,-2131.75,7262.0,134.8,-134.8,2.13,0.08,-0.08,11.4585,,,512.0,,,FALSE POSITIVE
2.78186,0.0005,-0.0005,4.92567,0.331864,-0.331864,490.0,1.16068,-1.16068,6819.0,137.6,-137.6,2.21,0.09,-0.09,1323.21,,,1680.0,,,FALSE POSITIVE
6.4410082,6.6e-06,-6.6e-06,4.59203,0.175872,-0.175872,7076.0,288.828,-288.828,3469.0,157.0,-157.0,0.53,0.02,-0.02,8.2114,,,471.0,,,FALSE POSITIVE
5.0100708,1.35e-05,-1.35e-05,2.3107394,0.1963706,-0.1963706,409.4812214,41.617928,-41.617928,5551.0,187.0,-187.0,0.906282,0.048892,-0.048892,210.6631712,,,971.6657708,,,CANDIDATE
2.2281625,1.51e-05,-1.51e-05,2.56778,0.178594,-0.178594,630.0,1.19719,-1.19719,5731.0,132.8,-132.8,1.02,0.05,-0.05,702.927,,,1434.0,,,CANDIDATE
2.4997996,4e-07,-4e-07,13.8516093,0.7051293,-0.7051293,14621.2059647,38.342907,-38.342907,5650.0,,,1.13732,0.0577764,-0.0577764,907.8624196,,,1399.9894384,,,CONFIRMED
1.66226,,,13.3343,0.611171,-0.611171,6030.0,0.893586,-0.893586,7301.0,141.5,-141.5,1.64,0.07,-0.07,7149.89,,,2561.0,,,FALSE POSITIVE
3.6245513,1.18e-05,-1.18e-05,4.3503,,,1299.0,70.8579,-70.8579,6317.0,,,1.38,,,919.571,,,,,,FALSE POSITIVE
0.7724825,6.8e-06,-6.8e-06,4.1624907,0.5104,-0.5104,211.3168519,14.352041,-14.352041,8271.0,143.9,-143.9,2.5027299,0.0856759,-0.0856759,60276.5000547,,,3996.2877922,,,CANDIDATE
1.6268695,4.6e-06,-4.6e-06,2.36498,0.148538,-0.148538,1502.0,48.6699,-48.6699,5034.0,48.8,-48.8,0.73,0.04,-0.04,1946.23,,,1850.0,,,FALSE POSITIVE
13.5499,0.00564,-0.00564,6.24633,0.838277,-0.838277,1180.0,19.1341,-19.1341,6209.0,131.0,-131.0,1.63,0.08,-0.08,31.6652,,,660.0,,,FALSE POSITIVE
4.43651,0.00101,-0.00101,19.9664,6.34495,-6.34495,1520.0,594.271,-594.271,7101.9,165.9,-165.9,2.32,0.15,-0.15,8233.41,,,2653.0,,,FALSE POSITIVE
3.372877,0.000147,-0.000147,14.201803,0.154789,-0.154789,17163.60419,212.40587,-212.40587,6050.0,,,1.02,,,615.165921,,,1270.187448,,,CONFIRMED
8.34998,1e-05,-1e-05,11.1424,1.06327,-1.06327,16680.0,15.1352,-15.1352,4236.0,122.3,-122.3,0.74,0.07,-0.07,19.9348,,,588.0,,,CONFIRMED
4.0686405,0.0002958,-0.0002958,3.7548333,0.5705166,-0.5705166,2650.0950013,99.40586,-99.40586,4236.0,122.3,-122.3,0.741921,0.0675678,-0.0675678,84.108766,,,772.378302,,,CONFIRMED
0.5860366,4.9e-06,-4.9e-06,4.906408,1.6418222,-1.6418222,410.5241553,21.146746,-21.146746,5579.0,135.4,-135.4,2.39803,0.136922,-0.136922,26813.1057089,,,3263.6721812,,,CANDIDATE
1.5502952,4.6e-06,-4.6e-06,3.34528,0.145518,-0.145518,411.0,18.1669,-18.1669,7851.0,72.9,-72.9,1.86,0.05,-0.05,10796.6,,,2839.0,,,FALSE POSITIVE
1.80709,0.00123,-0.00123,4.86242,0.467902,-0.467902,450.0,2.70834,-2.70834,6244.0,124.8,-124.8,2.2,0.11,-0.11,7233.01,,,2569.0,,,FALSE POSITIVE
18.6922101,0.0001259,-0.0001259,18.1458,0.786783,-0.786783,11126.0,185.114,-185.114,6277.0,125.8,-125.8,1.65,0.07,-0.07,282.175,,,1141.0,,,FALSE POSITIVE
8.0277326,1.3e-06,-1.3e-06,9.06883,0.406897,-0.406897,5705.0,19.6569,-19.6569,5962.7,68.6,-68.6,1.15,0.05,-0.05,248.619,,,1106.0,,,CONFIRMED
12.5187279,3.16e-05,-3.16e-05,5.58857,0.357814,-0.357814,2320.0,4.46525,-4.46525,5729.0,131.1,-131.1,0.98,0.05,-0.05,626.362,,,1393.0,,,CONFIRMED
6.2586065,1.03e-05,-1.03e-05,2.51593,0.147348,-0.147348,813.0,34.3389,-34.3389,5729.0,131.1,-131.1,0.98,0.05,-0.05,232.392,,,1087.0,,,CONFIRMED
26.3208756,0.0001272,-0.0001272,2.71349,0.151793,-0.151793,800.0,0.435205,-0.435205,5729.0,131.1,-131.1,0.98,0.05,-0.05,26.4328,,,631.0,,,CONFIRMED
18.795547,0.0001037,-0.0001037,2.1597669,0.8829104,-0.8829104,470.6731965,55.53711,-55.53711,5729.0,131.1,-131.1,0.977727,0.0483517,-0.0483517,48.477077,,,672.9826313,,,CONFIRMED
1.3206356,0.0001541,-0.0001541,34.7561624,34.22737,-34.22737,1052.4255997,78.95927,-78.95927,4919.6,59.0,-59.0,6.3070302,,,3652.2582486,,,1982.7142102,,,CANDIDATE
